Step,Learning Rate,Train Loss,Validation Loss,Perplexity,Time Elapsed
0,1.0000000000000002e-06,64.28343963623047,64.14508056640625,7.276087099064977e+27,1.0638537406921387
50,tensor(0.0100),6.8232645988464355,6.875751972198486,969.833984375,40.314148902893066
100,tensor(0.0090),5.226927280426025,5.227685451507568,186.66265869140625,85.79472374916077
150,tensor(0.0002),4.803746700286865,4.874090671539307,131.13894653320312,127.05482983589172
200,tensor(0.0079),4.277102947235107,4.316152572631836,74.93309783935547,166.687579870224
250,tensor(0.0027),3.952360153198242,3.9574921131134033,52.34675979614258,206.2993607521057
300,1.0000000000000002e-06,3.852492570877075,3.8229119777679443,45.769039154052734,245.3215639591217
350,1.0000000000000002e-06,3.795262575149536,3.955376386642456,52.3229866027832,284.8759617805481
400,1.0000000000000002e-06,3.902419328689575,3.863286018371582,47.7082405090332,327.25385880470276
450,1.0000000000000002e-06,3.8526294231414795,3.8802077770233154,48.44021224975586,368.699649810791
499,1.0000000000000002e-06,3.887882947921753,3.8579177856445312,47.37416458129883,407.10656905174255
